"fips"|"lar_count"
"13073"|10032
"13075"|508
"13077"|8947
"13079"|350
"13081"|470
"13083"|672
"13085"|1866
"13087"|692
"13089"|35188
"13091"|384
"13093"|213
"13095"|2177
"13097"|8120
"13099"|281
"13101"|67
"13103"|3782
"13105"|503
"13107"|416
"13109"|313
"13111"|1778
"13113"|7227
"13115"|3335
"13117"|17552
"13119"|679
"13121"|53247
"13123"|1743
"13125"|63
"13127"|4385
"13129"|2177
"13131"|576
"13133"|1077
"13135"|50396
"13137"|1732
"13139"|10145
"13141"|268
"13143"|1174
"13145"|1921
"13147"|905
"13149"|432
"13151"|15081
"13153"|7829
"13155"|190
"13157"|4976
"13159"|739
"13161"|340
"13163"|322
"13165"|149
"13167"|171
"13169"|1118
"13171"|689
"13173"|449
"13175"|1578
"13177"|1565
"13179"|3228
"13181"|330
"13183"|1016
"13185"|4383
"13187"|1422
"13189"|678
"13191"|565
"13193"|201
"13195"|1295
"13197"|204
"13199"|782
"13201"|208
"13205"|387
"13207"|1163
"13209"|215
"13211"|981
"13213"|1287
"13215"|6555
"13217"|6154
"13219"|2365
"13221"|599
"13223"|11991
"13225"|997
"13227"|1947
"13229"|698
"13231"|918
"13233"|1414
"13235"|285
"13237"|1117
"13239"|90
"13241"|787
"13243"|131
"13245"|7228
"13247"|4844
"13249"|112
"13251"|315
"13253"|274
"13255"|2460
"13257"|790
"13259"|90
"13261"|580
"13263"|178
"13265"|45
"13267"|768
"13269"|165
"13271"|146
"13273"|255
"13275"|1455
"13277"|1115
"13279"|646
"13281"|730
"13283"|129
"13285"|2399
"13287"|220
"13289"|243
"13291"|1457
"13293"|825
"13295"|2775
"13297"|5570
"13299"|1004
"13301"|106
"13303"|358
"13305"|996
"13307"|43
"13309"|115
"13311"|1282
"13313"|3356
"13315"|133
"13317"|298
"13319"|170
"13321"|633
"15001"|6582
"15003"|30210
"15007"|2293
"15009"|5785
"16001"|29130
"16003"|190
"16005"|3616
"16007"|338
"16009"|318
"16011"|1825
"16013"|1351
"16015"|583
"16017"|2722
"16019"|6062
"16021"|494
"16023"|103
"16025"|68
"16027"|13219
"16029"|253
"16031"|582
"16033"|15
"16035"|280
"16037"|183
"16039"|1297
"16041"|648
"16043"|757
"16045"|969
"16047"|480
"16049"|461
"16051"|1530
"16053"|758
"16055"|11088
"16057"|1196
"16059"|391
"16061"|112
"16063"|135
"16065"|1081
"16067"|569
"16069"|1701
"16071"|199
"16073"|414
"16075"|1167
"16077"|257
"16079"|587
"16081"|724
"16083"|3422
"16085"|1037
"16087"|387
"17001"|1337
"17003"|88
"17005"|502
"17007"|2239
"17009"|82
"17011"|839
"17013"|127
"17015"|377
"17017"|318
"17019"|6444
"17021"|890
"17023"|310
"17025"|211
"17027"|1436
"17029"|934
"17031"|201062
"17033"|282
"17035"|166
"17037"|3923
"17039"|555
"17041"|494
"17043"|42904
"17045"|440
"17047"|97
"17049"|845
"17051"|517
"17053"|432
"17055"|1045
"17057"|899
"17059"|128
"17061"|299
"17063"|2627
"17065"|187
"17067"|429
"17069"|69
"17071"|140
"17073"|1922
"17075"|666
"17077"|1220
"17079"|122
"17081"|992
"17083"|727
"17085"|781
"17087"|355
"17089"|24640
"17091"|3751
"17093"|8336
"17095"|1447
"17097"|31040
"17099"|3206
"17101"|232
"17103"|718
"17105"|784
"17107"|900
"17109"|506
"17111"|16679
"17113"|6475
"17115"|3364
"17117"|1552
"17119"|11846
"17121"|1071
"17123"|351
"17125"|379
"17127"|237
"17129"|618
"17131"|664
"17133"|1823
"17135"|631
"17137"|920
"17139"|384
"17141"|1849
"17143"|5899
"17145"|539
"17147"|678
"17149"|272
"17151"|71
"17153"|86
"17155"|137
"17157"|828
"17159"|264
"17161"|6067
"17163"|11251
"17165"|577
"17167"|7669
"17169"|167
"17171"|94
"17173"|453
"17175"|170
"17177"|1057
"17179"|5037
"17181"|310
"17183"|1852
"17185"|202
"17187"|412
"17189"|469
"17191"|201
"17193"|331
"17195"|1344
"17197"|36409
"17199"|2344
"17201"|10337
"17203"|1383
"18001"|1191
"18003"|17083
"18005"|3695
"18007"|290
"18009"|338
"18011"|3878
"18013"|1068
"18015"|897
"18017"|991
"18019"|6274
"18021"|941
"18023"|1173
"18025"|341
"18027"|844
"18029"|2522
"18031"|933
"18033"|2146
"18035"|3545
"18037"|998
"18039"|8066
"18041"|750
"18043"|3920
"18045"|500
"18047"|860
"18049"|650
"18051"|1277
"18053"|1876
"18055"|1136
"18057"|20340
"18059"|4626
"18061"|2084
"18063"|10384
"18065"|1723
"18067"|3656
"18069"|1311
"18071"|1877
"18073"|1487
"18075"|521
"18077"|1437
"18079"|1000
"18081"|9192
"18083"|1136
"18085"|3320
"18087"|1452
"18089"|21411
"18091"|4528
"18093"|1601
"18095"|5157
"18097"|40625
"18099"|1588
"18101"|291
"18103"|904
"18105"|5065
"18107"|1645
"18109"|4083
"18111"|668
"18113"|1978
"18115"|319
"18117"|463
"18119"|1029
"18121"|542
"18123"|639
"18125"|495
"18127"|8461
"18129"|1089
"18131"|413
"18133"|1709
"18135"|872
"18137"|1052
"18139"|594
"18141"|9596
"18143"|952
"18145"|2004
"18147"|635
"18149"|924
"18151"|1822
"18153"|591
"18155"|399
"18157"|6826
"18159"|566
"18161"|256
"18163"|8080
"18165"|526
"18167"|3455
"18169"|899
"18171"|304
"18173"|3396
"18175"|1154
"18177"|2208
"18179"|1259
"18181"|1250
"18183"|1644
"19001"|256
"19003"|95
"19005"|321
"19007"|306
"19009"|99
"19011"|1224
"19013"|5943
"19015"|1178
"19017"|1099
"19019"|968
"19021"|490
"19023"|543
"19025"|287
"19027"|499
"19029"|384
"19031"|844
"19033"|888
"19035"|264
"19037"|334
"19039"|302
"19041"|420
"19043"|571
"19045"|1323
"19047"|507
"19049"|5837
"19051"|147
"19053"|143
"19055"|738
"19057"|1172
"19059"|920
"19061"|3647
"19063"|219
"19065"|540
"19067"|188
"19069"|129
"19071"|241
"19073"|202
"19075"|553
"19077"|501
"19079"|364
"19081"|242
"19083"|416
"19085"|622
"19087"|502
"19089"|91
"19091"|268
"19093"|170
"19095"|731
"19097"|418
"19099"|1577
"19101"|433
"19103"|7069
"19105"|830
"19107"|229
"19109"|266
"19111"|511
"19113"|12390
"19115"|256
"19117"|337
"19119"|350
"19121"|929
"19123"|662
"19125"|1114
"19127"|1034
"19129"|692
"19131"|89
"19133"|302
"19135"|208
"19137"|299
"19139"|1405
"19141"|315
"19143"|112
"19145"|347
"19147"|176
"19149"|852
"19151"|134
"19153"|25859
"19155"|4210
"19157"|640
"19159"|147
"19161"|208
"19163"|8585
"19165"|353
"19167"|940
"19169"|3240
"19171"|453
"19173"|118
"19175"|262
"19177"|104
"19179"|936
"19181"|3029
"19183"|1007
"19185"|117
"19187"|1056
"19189"|230
"19191"|323
"19193"|3698
"19195"|155
"19197"|282
"20001"|260
"20003"|213
"20005"|468
"20007"|71
"20009"|542
"20011"|329
"20013"|247
"20015"|3019
"20017"|45
"20019"|53
"20021"|519
"20023"|35
"20025"|44
"20027"|262
"20029"|207
"20031"|248
"20033"|18
"20035"|1105
"20037"|1049
"20039"|61
"20041"|586
"20043"|253
"20045"|3867
"20047"|50
"20049"|29
"20051"|595
"20053"|83
"20055"|755
"20057"|655
"20059"|1084
"20061"|1153
"20063"|63
"20065"|32
"20067"|123
"20069"|114
"20071"|31
"20073"|146
"20075"|19
"20077"|122
"20079"|1352
"20081"|55
"20083"|26
"20085"|474
"20087"|823
"20089"|28
"20091"|32000
"20093"|69
"20095"|201
"20097"|29
"20099"|464
