"concat"|"count"
"13075"|377
"13077"|8843
"13079"|331
"13081"|463
"13083"|482
"13085"|1844
"13087"|644
"13089"|34726
"13091"|293
"13093"|205
"13095"|1946
"13097"|8037
"13099"|177
"13101"|55
"13103"|3761
"13105"|435
"13107"|339
"13109"|239
"13111"|1730
"13113"|7117
"13115"|3120
"13117"|17395
"13119"|641
"13121"|52533
"13123"|1717
"13125"|59
"13127"|4022
"13129"|2076
"13131"|522
"13133"|998
"13135"|49765
"13137"|1727
"13139"|9948
"13141"|238
"13143"|1144
"13145"|1863
"13147"|821
"13149"|423
"13151"|14904
"13153"|7500
"13155"|188
"13157"|4874
"13159"|633
"13161"|296
"13163"|316
"13165"|133
"13167"|143
"13169"|999
"13171"|669
"13173"|286
"13175"|1270
"13177"|1411
"13179"|3076
"13181"|236
"13183"|906
"13185"|3422
"13187"|1401
"13189"|660
"13191"|459
"13193"|189
"13195"|1228
"13197"|200
"13199"|735
"13201"|152
"13205"|373
"13207"|1103
"13209"|210
"13211"|922
"13213"|1196
"13215"|6420
"13217"|5917
"13219"|2213
"13221"|527
"13223"|11832
"13225"|952
"13227"|1888
"13229"|531
"13231"|879
"13233"|1340
"13235"|243
"13237"|1036
"13239"|78
"13241"|765
"13243"|108
"13245"|7026
"13247"|4776
"13249"|112
"13251"|307
"13253"|224
"13255"|2336
"13257"|778
"13259"|86
"13261"|522
"13263"|161
"13265"|33
"13267"|552
"13269"|138
"13271"|134
"13273"|154
"13275"|1191
"13277"|1060
"13279"|628
"13281"|723
"13283"|114
"13285"|2218
"13287"|215
"13289"|221
"13291"|1447
"13293"|766
"13295"|2499
"13297"|5402
"13299"|823
"13301"|101
"13303"|352
"13305"|809
"13307"|34
"13309"|104
"13311"|1257
"13313"|3138
"13315"|131
"13317"|188
"13319"|153
"13321"|598
"15001"|6460
"15003"|28345
"15007"|2234
"15009"|5597
"16001"|28496
"16003"|181
"16005"|3297
"16007"|310
"16009"|316
"16011"|1708
"16013"|1325
"16015"|576
"16017"|2710
"16019"|5814
"16021"|493
"16023"|99
"16025"|63
"16027"|13062
"16029"|207
"16031"|577
"16033"|11
"16035"|278
"16037"|171
"16039"|1265
"16041"|593
"16043"|691
"16045"|961
"16047"|465
"16049"|460
"16051"|1418
"16053"|752
"16055"|11009
"16057"|1192
"16059"|352
"16061"|111
"16063"|133
"16065"|893
"16067"|559
"16069"|1692
"16071"|197
"16073"|412
"16075"|1159
"16077"|208
"16079"|585
"16081"|686
"16083"|3403
"16085"|961
"16087"|384
"17001"|946
"17003"|79
"17005"|342
"17007"|2098
"17009"|71
"17011"|607
"17013"|49
"17015"|341
"17017"|125
"17019"|5012
"17021"|727
"17023"|198
"17025"|185
"17027"|1157
"17029"|874
"17031"|193887
"17033"|275
"17035"|128
"17037"|3711
"17039"|423
"17041"|366
"17043"|41531
"17045"|221
"17047"|73
"17049"|491
"17051"|303
"17053"|293
"17055"|948
"17057"|758
"17059"|101
"17061"|232
"17063"|2233
"17065"|173
"17067"|410
"17069"|59
"17071"|99
"17073"|1388
"17075"|444
"17077"|877
"17079"|83
"17081"|909
"17083"|534
"17085"|649
"17087"|322
"17089"|24041
"17091"|3111
"17093"|8118
"17095"|1084
"17097"|30314
"17099"|2483
"17101"|224
"17103"|640
"17105"|546
"17107"|846
"17109"|441
"17111"|16120
"17113"|5933
"17115"|2694
"17117"|1364
"17119"|10735
"17121"|762
"17123"|308
"17125"|270
"17127"|220
"17129"|374
"17131"|487
"17133"|1400
"17135"|419
"17137"|553
"17139"|272
"17141"|1411
"17143"|5332
"17145"|383
"17147"|471
"17149"|202
"17151"|61
"17153"|81
"17155"|117
"17157"|557
"17159"|176
"17161"|5155
"17163"|10231
"17165"|471
"17167"|6597
"17169"|107
"17171"|59
"17173"|335
"17175"|100
"17177"|833
"17179"|4594
"17181"|259
"17183"|1366
"17185"|170
"17187"|268
"17189"|363
"17191"|179
"17193"|262
"17195"|1072
"17197"|35228
"17199"|1842
"17201"|9626
"17203"|1158
"18001"|872
"18003"|15775
"18005"|3575
"18007"|244
"18009"|287
"18011"|3682
"18013"|983
"18015"|767
"18017"|793
"18019"|5949
"18021"|779
"18023"|940
"18025"|288
"18027"|706
"18029"|2070
"18031"|827
"18033"|1883
"18035"|3392
"18037"|985
"18039"|7558
"18041"|566
"18043"|3785
"18045"|394
"18047"|664
"18049"|626
"18051"|1179
"18053"|1773
"18055"|889
"18057"|19939
"18059"|4435
"18061"|1928
"18063"|10015
"18065"|1628
"18067"|3086
"18069"|1120
"18071"|1654
"18073"|1379
"18075"|374
"18077"|1333
"18079"|928
"18081"|8864
"18083"|1110
"18085"|3171
"18087"|1360
"18089"|20612
"18091"|4379
"18093"|1446
"18095"|4946
"18097"|39733
"18099"|1564
"18101"|249
"18103"|789
"18105"|4577
"18107"|1428
"18109"|3615
"18111"|537
"18113"|1770
"18115"|284
"18117"|428
"18119"|736
"18121"|469
"18123"|627
"18125"|426
"18127"|8185
"18129"|944
"18131"|378
"18133"|1453
"18135"|748
"18137"|865
"18139"|529
"18141"|9474
"18143"|798
"18145"|1911
"18147"|618
"18149"|899
"18151"|1691
"18153"|562
"18155"|386
"18157"|6433
"18159"|517
"18161"|154
"18163"|7255
"18165"|459
"18167"|3060
"18169"|705
"18171"|257
"18173"|2903
"18175"|967
"18177"|1566
"18179"|1124
"18181"|1104
"18183"|1467
"19001"|183
"19003"|80
"19005"|221
"19007"|298
"19009"|84
"19011"|1011
"19013"|5570
"19015"|1003
"19017"|837
"19019"|862
"19021"|442
"19023"|472
"19025"|264
"19027"|402
"19029"|307
"19031"|732
"19033"|790
"19035"|232
"19037"|252
"19039"|250
"19041"|409
"19043"|374
"19045"|1176
"19047"|496
"19049"|5392
"19051"|143
"19053"|114
"19055"|390
"19057"|857
"19059"|812
"19061"|3289
"19063"|204
"19065"|445
"19067"|162
"19069"|112
"19071"|230
"19073"|144
"19075"|486
"19077"|350
"19079"|293
"19081"|130
"19083"|269
"19085"|503
"19087"|417
"19089"|85
"19091"|264
"19093"|131
"19095"|636
"19097"|371
"19099"|1465
"19101"|347
"19103"|6644
"19105"|602
"19107"|180
"19109"|251
"19111"|479
"19113"|10784
"19115"|170
"19117"|324
"19119"|224
"19121"|727
"19123"|637
"19125"|1069
"19127"|958
"19129"|626
"19131"|84
"19133"|219
"19135"|202
"19137"|262
"19139"|1132
"19141"|214
"19143"|76
"19145"|336
"19147"|169
"19149"|412
"19151"|121
"19153"|23978
"19155"|3840
"19157"|589
"19159"|130
"19161"|191
"19163"|7269
"19165"|301
"19167"|677
"19169"|2768
"19171"|398
"19173"|113
"19175"|249
"19177"|95
"19179"|895
"19181"|2740
"19183"|736
"19185"|113
"19187"|955
"19189"|120
"19191"|231
"19193"|2603
"19195"|137
"19197"|198
"20001"|253
"20003"|191
"20005"|264
"20007"|55
"20009"|451
"20011"|294
"20013"|137
"20015"|2697
"20017"|33
"20019"|47
"20021"|467
"20023"|29
"20025"|41
"20027"|167
"20029"|100
"20031"|180
"20033"|13
"20035"|904
"20037"|824
"20039"|51
"20041"|548
"20043"|135
"20045"|3633
"20047"|28
"20049"|24
"20051"|586
"20053"|65
"20055"|746
"20057"|629
"20059"|1009
"20061"|1125
"20063"|62
"20065"|30
"20067"|123
"20069"|94
"20071"|24
"20073"|100
"20075"|15
"20077"|89
"20079"|790
"20081"|55
"20083"|25
"20085"|288
"20087"|631
"20089"|26
"20091"|30967
"20093"|67
"20095"|148
"20097"|28
"20099"|351
